Match_ID,Team,Shooter_Foot,Keeper_Dive,Kick_Placement,Is_Goal,Kick_Number,Shooter_Name
11,BRA,L,L,9.0,1,6.0,Unknown Shooter
11,ITA,R,R,6.0,0,7.0,Unknown Shooter
11,BRA,R,L,6.0,1,8.0,Unknown Shooter
11,ITA,R,C,2.0,0,9.0,Unknown Shooter
11,BRA,,Unknown,,0,10.0,Unknown Shooter
12,ARG,L,R,9.0,1,1.0,Unknown Shooter
12,ENG,R,L,1.0,1,2.0,Unknown Shooter
12,ARG,R,R,6.0,0,3.0,Unknown Shooter
12,ENG,R,R,6.0,0,4.0,Unknown Shooter
12,ARG,R,L,1.0,1,5.0,Unknown Shooter
12,ENG,R,L,1.0,1,6.0,Unknown Shooter
12,ARG,R,L,7.0,1,7.0,Unknown Shooter
12,ENG,R,R,1.0,1,8.0,Unknown Shooter
12,ARG,R,C,9.0,1,9.0,Unknown Shooter
12,ENG,R,L,5.0,0,10.0,Unknown Shooter
13,FRA,R,R,7.0,1,1.0,Unknown Shooter
13,ITA,R,C,9.0,1,2.0,Unknown Shooter
13,FRA,L,L,7.0,0,3.0,Unknown Shooter
13,ITA,R,L,7.0,0,4.0,Unknown Shooter
13,FRA,R,R,7.0,1,5.0,Unknown Shooter
13,ITA,R,L,4.0,1,6.0,Unknown Shooter
13,FRA,R,R,9.0,1,7.0,Unknown Shooter
13,ITA,L,R,3.0,1,8.0,Unknown Shooter
13,FRA,R,R,5.0,1,9.0,Unknown Shooter
13,ITA,R,R,2.0,0,10.0,Unknown Shooter
14,BRA,R,R,2.0,1,1.0,Unknown Shooter
14,HOL,L,L,4.0,1,2.0,Unknown Shooter
14,BRA,L,L,6.0,1,3.0,Unknown Shooter
14,HOL,R,R,9.0,1,4.0,Unknown Shooter
14,BRA,R,R,5.0,1,5.0,Unknown Shooter
14,HOL,L,R,6.0,0,6.0,Unknown Shooter
14,BRA,R,L,1.0,1,7.0,Unknown Shooter
14,HOL,R,L,7.0,0,8.0,Unknown Shooter
14,BRA,,Unknown,,0,9.0,Unknown Shooter
14,HOL,,Unknown,,0,10.0,Unknown Shooter
15,IRE,R,R,2.0,1,1.0,Unknown Shooter
15,SPA,R,R,4.0,1,2.0,Unknown Shooter
15,IRE,R,R,2.0,0,3.0,Unknown Shooter
15,SPA,R,C,6.0,1,4.0,Unknown Shooter
15,IRE,R,C,5.0,0,5.0,Unknown Shooter
15,SPA,L,C,9.0,0,6.0,Unknown Shooter
15,IRE,L,R,6.0,0,7.0,Unknown Shooter
15,SPA,R,R,7.0,0,8.0,Unknown Shooter
15,IRE,R,C,3.0,1,9.0,Unknown Shooter
15,SPA,R,L,8.0,1,10.0,Unknown Shooter
16,KOR,R,R,9.0,1,1.0,Unknown Shooter
16,SPA,R,R,5.0,1,2.0,Unknown Shooter
16,KOR,R,C,6.0,1,3.0,Unknown Shooter
16,SPA,R,R,7.0,1,4.0,Unknown Shooter
16,KOR,R,L,6.0,1,5.0,Unknown Shooter
16,SPA,R,C,3.0,1,6.0,Unknown Shooter
16,KOR,R,L,8.0,1,7.0,Unknown Shooter
16,SPA,R,C,5.0,0,8.0,Unknown Shooter
16,KOR,R,L,3.0,1,9.0,Unknown Shooter
16,SPA,,Unknown,,0,10.0,Unknown Shooter
17,UKR,R,L,7.0,0,1.0,Unknown Shooter
17,SWZ,L,L,7.0,0,2.0,Unknown Shooter
17,UKR,R,L,5.0,1,3.0,Unknown Shooter
17,SWZ,R,L,1.0,0,4.0,Unknown Shooter
17,UKR,R,L,6.0,1,5.0,Unknown Shooter
17,SWZ,R,R,2.0,0,6.0,Unknown Shooter
17,UKR,R,R,7.0,1,7.0,Unknown Shooter
17,SWZ,,Unknown,,0,8.0,Unknown Shooter
17,UKR,,Unknown,,0,9.0,Unknown Shooter
17,SWZ,,Unknown,,0,10.0,Unknown Shooter
18,GER,R,R,6.0,1,1.0,Unknown Shooter
18,ARG,R,L,1.0,1,2.0,Unknown Shooter
18,GER,R,C,4.0,1,3.0,Unknown Shooter
18,ARG,R,R,9.0,0,4.0,Unknown Shooter
18,GER,L,L,9.0,1,5.0,Unknown Shooter
18,ARG,R,L,7.0,1,6.0,Unknown Shooter
18,GER,R,L,9.0,1,7.0,Unknown Shooter
18,ARG,L,R,9.0,0,8.0,Unknown Shooter
18,GER,,Unknown,,0,9.0,Unknown Shooter
18,ARG,,Unknown,,0,10.0,Unknown Shooter
19,POR,R,L,7.0,1,1.0,Unknown Shooter
19,ENG,R,C,8.0,0,2.0,Unknown Shooter
19,POR,L,R,4.0,0,3.0,Unknown Shooter
19,ENG,R,L,7.0,1,4.0,Unknown Shooter
19,POR,R,L,7.0,0,5.0,Unknown Shooter
19,ENG,R,R,5.0,0,6.0,Unknown Shooter
19,POR,R,C,4.0,1,7.0,Unknown Shooter
19,ENG,R,L,7.0,0,8.0,Unknown Shooter
19,POR,R,L,6.0,1,9.0,Unknown Shooter
19,ENG,,Unknown,,0,10.0,Unknown Shooter
20,ITA,R,L,2.0,1,1.0,Unknown Shooter
20,FRA,R,L,9.0,1,2.0,Unknown Shooter
20,ITA,L,R,9.0,1,3.0,Unknown Shooter
20,FRA,R,R,1.0,0,4.0,Unknown Shooter
20,ITA,R,L,1.0,1,5.0,Unknown Shooter
20,FRA,L,R,7.0,1,6.0,Unknown Shooter
20,ITA,R,R,4.0,1,7.0,Unknown Shooter
20,FRA,R,L,3.0,1,8.0,Unknown Shooter
20,ITA,L,L,3.0,1,9.0,Unknown Shooter
20,FRA,,Unknown,,0,10.0,Unknown Shooter
21,PAR,R,L,7.0,1,1.0,Unknown Shooter
21,JAP,R,L,6.0,1,2.0,Unknown Shooter
21,PAR,R,R,9.0,1,3.0,Unknown Shooter
21,JAP,R,L,4.0,1,4.0,Unknown Shooter
21,PAR,R,L,9.0,1,5.0,Unknown Shooter
21,JAP,R,L,1.0,0,6.0,Unknown Shooter
21,PAR,R,L,2.0,1,7.0,Unknown Shooter
21,JAP,L,R,8.0,1,8.0,Unknown Shooter
21,PAR,L,R,7.0,1,9.0,Unknown Shooter
21,JAP,,Unknown,,0,10.0,Unknown Shooter
22,URU,R,L,6.0,1,1.0,Unknown Shooter
22,GHA,R,R,3.0,1,2.0,Unknown Shooter
22,URU,R,L,1.0,1,3.0,Unknown Shooter
22,GHA,R,L,1.0,1,4.0,Unknown Shooter
22,URU,R,C,8.0,1,5.0,Unknown Shooter
22,GHA,R,R,8.0,0,6.0,Unknown Shooter
